2018 Seat Number,Seat Name,2013 Seat Number
NA-001,Chitral,NA-032
NA-002,Swat I,NA-029
NA-003,Swat II,NA-030
NA-004,Swat III,Newly Added
NA-005,Upper Dir,NA-033
NA-006,Lower Dir,NA-034
NA-007,Lower Dir II,Newly Added
NA-008,Malakand,NA-035
NA-009,Boner,NA-028
NA-010,Shangla,NA-031
NA-011,Kohistan,NA-023
NA-012,Battagram,NA-022
NA-013,Mansehra I,NA-020
NA-014,Mansehra II,NA-021
NA-015,Abottabad I,NA-017
NA-016,Abottabad II,NA-018
NA-017,Haripur,NA-019
NA-018,Swabi I,NA-012
NA-019,Swabi II,NA-013
NA-020,Mardan I,NA-009
NA-021,Mardan II,NA-010
NA-022,Mardan III,NA-011
NA-023,Charsadda I,NA-007
NA-024,Charsadda II,NA-008
NA-025,Nowshera I,NA-005
NA-026,Nowshera II,NA-006
NA-027,Peshawar I,NA-001
NA-028,Peshawar II,NA-002
NA-029,Peshawar III,NA-003
NA-030,Peshawar IV,NA-004
NA-031,Peshawar V,Newly Added
NA-032,Kohat,NA-014
NA-033,Hangu,NA-016
NA-034,Karak,NA-015
NA-035,Bannu,NA-026
NA-036,Lakki Marwat,NA-027
NA-037,Tank,Newly Added
NA-038,D I Khan,NA-024
NA-039,D I Khan KUM Tank,NA-025
NA-040,Tribal Area I - Bajaur I,NA-036
NA-041,Tribal Area II - Bajaur II,NA-037
NA-042,Tribal Area III - Mohman,NA-038
NA-043,Tribal Area IV - Khyber I,NA-039
NA-044,Tribal Area V - Khyber II,NA-040
NA-045,Tribal Area VI - Kurram,NA-041
NA-046,Tribal Area VII - Kurram II,NA-042
NA-047,Tribal Area VIII - Orakzai,NA-043
NA-048,Tribal Area IX - North Waziristan,NA-044
NA-049,Tribal Area X - South Waziristan I,NA-045
NA-050,Tribal Area XI - South Waziristan II,NA-046
NA-051,Tribal Area XII - F R ,NA-047
NA-052,Islamabad 1,NA-048
NA-053,Islamabad 2,NA-049
NA-054,Islamabad 3,Newly Added
NA-055,Attock I,NA-057
NA-056,Attock II,NA-058
NA-057,Rawalpindi I,NA-050
NA-058,Rawalpindi II,NA-051
NA-059,Rawalpindi III,NA-052
NA-060,Rawalpindi IV,NA-053
NA-061,Rawalpindi V,NA-054
NA-062,Rawalpindi VI,NA-055
NA-063,Rawalpindi VII,NA-056
NA-064,Chakwal I,NA-060
NA-065,Chakwal II,NA-061
NA-066,Jehlum I,NA-062
NA-067,Jehlum II,NA-063
NA-068,Gujarat 1,NA-104
NA-069,Gujarat 2,NA-105
NA-070,Gujarat 3,NA-106
NA-071,Gujarat 4,NA-107
NA-072,Sialkot 1,NA-110
NA-073,Sialkot 2,NA-111
NA-074,Sialkot 3,NA-112
NA-075,Sialkot 4,NA-113
NA-076,Sialkot 5,NA-114
NA-077,Narowal 1,NA-115
NA-078,Narowal 2,NA-116
NA-079,Gujaranwala 1,NA-095
NA-080,Gujaranwala 2,NA-096
NA-081,Gujaranwala 3,NA-097
NA-082,Gujaranwala 4,NA-098
NA-083,Gujaranwala 5,NA-099
NA-084,Gujaranwala 6,NA-100
NA-085,MANDI BAHAUDDIN-I,NA-108
NA-086,MANDI BAHAUDDIN-II,NA-109
NA-087,Hafizabad 1,NA-102
NA-088,Sargodha I,NA-064
NA-089,Sargodha II,NA-065
NA-090,Sargodha III,NA-066
NA-091,Sargodha IV,NA-067
NA-092,Sargodha V,NA-068
NA-093,Khushab I,NA-069
NA-094,Khushab II,NA-070
NA-095,Mianwali I,NA-071
NA-096,Mianwali II,NA-072
NA-097,Bhakkar I,NA-073
NA-098,Bhakkar II,NA-074
NA-099,Chiniot-I (Old NA-86 Jhang-I),NA-086
NA-100,Chiniot-II Cum-Jhang (Old NA-88 Jhang-III),NA-087
NA-101,Faisalabad 1,NA-075
NA-102,Faisalabad 2,NA-076
NA-103,Faisalabad 3,NA-077
NA-104,Faisalabad 4,NA-078
NA-105,Faisalabad 5,NA-079
NA-106,Faisalabad 6,NA-080
NA-107,Faisalabad 7,NA-081
NA-108,Faisalabad 8,NA-082
NA-109,Faisalabad 9,NA-083
NA-110,Faisalabad 10,NA-084
NA-111,Toba Tek Singh 1,NA-092
NA-112,Toba Tek Singh 2,NA-093
NA-113,Toba Tek Singh 3,NA-094
NA-114,Jhang-I (Old NA-89 Jhang-IV),NA-089
NA-115,Jhang-II (Old NA-90 Jhang-V,NA-090
NA-116,Jhang-III(Old NA-91 Jhang-VI),NA-091
NA-117,Nankana Sahib-I-Cum-Sheikhupura (Old Sheikhupura-V),NA-135
NA-118,Nankana Sahib-II Cum-Sheikhupura (Old Sheikhupura-VI),NA-136
NA-119,Sheikhupura 1,NA-131
NA-120,Sheikhupura 2,NA-132
NA-121,Sheikhupura 3,NA-133
NA-122,Sheikhupura 4,NA-134
NA-123,Lahore 1,NA-118
NA-124,Lahore 2,NA-119
NA-125,Lahore 3,NA-120
NA-126,Lahore 4,NA-121
NA-127,Lahore 5,NA-122
NA-128,Lahore 6,NA-123
NA-129,Lahore 7,NA-124
NA-130,Lahore 8,NA-125
NA-131,Lahore 9,NA-126
NA-132,Lahore 10,NA-127
NA-133,Lahore 11,NA-128
NA-134,Lahore 12,NA-129
NA-135,Lahore 13,NA-130
NA-136,Lahore 14,Newly Added
NA-137,Kasur 1,NA-138
NA-138,Kasur 2,NA-139
NA-139,Kasur 3,NA-140
NA-140,Kasur 4,NA-141
NA-141,Okara 1,NA-143
NA-142,Okara 2,NA-144
NA-143,Okara 3,NA-145
NA-144,Okara 4,NA-146
NA-145,Pakpattan 1,NA-164
NA-146,Pakpattan 2,NA-165
NA-147,Sahiwal 1,NA-160
NA-148,Sahiwal 2,NA-161
NA-149,Sahiwal 3,NA-162
NA-150,Khanewal 1,NA-156
NA-151,Khanewal 2,NA-157
NA-152,Khanewal 3,NA-158
NA-153,Khanewal 4,NA-159
NA-154,Multan 1,NA-148
NA-155,Multan 2,NA-149
NA-156,Multan 3,NA-150
NA-157,Multan 4,NA-151
NA-158,Multan 5,NA-152
NA-159,Multan 6,NA-153
NA-160,Lodhran 1,NA-154
NA-161,Lodhran 2,NA-155
NA-162,Vehari 1,NA-167
NA-163,Vehari 2,NA-168
NA-164,Vehari 3,NA-169
NA-165,Vehari 4,NA-170
NA-166,Bahawalnagar 1,NA-188
NA-167,Bahawalnagar 2,NA-189
NA-168,Bahawalnagar 3,NA-190
NA-169,Bahawalnagar 4,NA-191
NA-170,Bahawalpur 1,NA-183
NA-171,Bahawalpur 2,NA-184
NA-172,Bahawalpur 3,NA-185
NA-173,Bahawalpur 4,NA-186
NA-174,Bahawalpur 5,NA-187
NA-175,Rahim Yar Khan 1,NA-192
NA-176,Rahim Yar Khan 2,NA-193
NA-177,Rahim Yar Khan 3,NA-194
